IDAuto,IDSort,Basic,IDMarketer,Date,Price,Text1,Text2,Text3,No1,No2,No3,Date1,Date2
340,6951,0,859,"07/20/05 00:00:00",1.7400000000000000e+00,,,,,,,,
341,6952,0,878,"02/20/07 00:00:00",2.9100000000000001e+00,,,,,,,,
342,6955,0,859,"10/21/05 00:00:00",2.5720000000000001e+00,,,,,,,,
343,6956,0,859,"04/30/05 00:00:00",3.0800000000000001e+00,,,,,,,,
344,6958,0,859,"12/15/05 00:00:00",2.6570000000000000e+00,,,,,,,,
345,6959,0,878,"11/29/06 00:00:00",2.3599999999999999e+00,,,,,,,,
346,6960,0,843,"04/30/05 00:00:00",2.5798000000000001e+00,,,,,,,,
348,6964,0,841,"04/30/05 00:00:00",2.0600000000000001e+00,,,,,,,,
349,6965,1,843,"05/07/10 00:00:00",2.1899999999999999e+00,,,,,,,,
350,6967,0,850,"04/30/05 00:00:00",2.1299999999999999e+00,,,,,,,,
364,6808,0,837,,5.6299999999999994e-01,,,,,,,,
366,6913,0,878,"08/27/05 00:00:00",1.0000000000000000e+00,,,,,,,,
373,6805,0,836,"07/28/06 00:00:00",2.9999999999999999e-01,,,,,,,,
374,6866,0,844,,1.4199999999999999e+00,,,,,,,,
377,6954,0,841,"06/15/05 00:00:00",3.3500000000000001e+00,,,,,,,,
385,6953,0,841,"06/30/05 00:00:00",2.5499999999999998e+00,,,,,,,,
387,6828,0,837,"07/08/05 00:00:00",3.2999999999999998e+00,,,,,,,,
389,6798,0,836,"07/13/05 00:00:00",4.0799999999999997e-01,,,,,,,,
392,6818,0,863,"09/24/08 00:00:00",1.6499999999999999e+00,,,,,,,,
394,6888,0,878,"07/14/05 00:00:00",2.1850000000000001e+01,,,,,,,,
397,6937,0,878,"07/20/05 00:00:00",2.2999999999999998e+00,,,,,,,,
490,7193,0,841,"06/15/05 00:00:00",3.5600000000000001e+00,,,,,,,,
491,6963,0,898,"04/30/05 00:00:00",2.8500000000000001e+00,,,,,,,,
497,6946,0,841,"04/30/05 00:00:00",2.6400000000000001e+00,,,,,,,,
498,7196,0,986,"04/10/13 00:00:00",3.8700000000000001e+00,,,,,,,,
499,7197,0,986,"04/10/13 00:00:00",2.9600000000000000e+00,,,,,,,,
500,7198,0,878,"07/13/05 00:00:00",8.3999999999999997e-01,,,,,,,,
502,7199,0,900,"01/09/07 00:00:00",2.5000000000000000e+00,,,,,,,,
505,6801,0,898,"05/01/05 00:00:00",5.6000000000000005e-01,,,,,,,,
508,6798,0,898,"09/27/06 00:00:00",5.0000000000000000e-01,,,,,,,,
510,7200,0,836,"04/30/05 00:00:00",4.0000000000000002e-01,,,,,,,,
513,6797,0,898,"05/01/05 00:00:00",2.7700000000000002e-01,,,,,,,,
515,6805,0,898,"08/17/06 00:00:00",2.8199999999999997e-01,,,,,,,,
518,6806,0,898,"08/17/06 00:00:00",2.8199999999999997e-01,,,,,,,,
524,6888,0,900,"07/20/05 00:00:00",2.9700000000000002e+00,,,,,,,,
530,6830,0,901,"05/20/05 00:00:00",4.2000000000000002e+00,,,,,,,,
531,6830,0,899,"10/22/05 00:00:00",3.6600000000000001e+00,,,,,,,,
