IDA_FASHMaterials,IDA_FASH,IDSort,Sxolia,IDA_FASHQuantity,IDA_FASHLoose,IDA_FASHRecipe,IDA_FASHDelete
1162,6874,6874,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1163,6875,6875,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1164,6876,6876,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1165,6877,6877,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1166,6878,6878,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1167,6879,6879,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1168,6880,6880,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1169,6881,6881,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1170,6882,6882,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1171,6883,6883,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1172,6884,6884,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1173,6885,6885,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1174,6886,6886,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1175,6887,6887,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1176,6888,6888,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1177,6889,6889,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1178,6890,6890,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1179,6891,6891,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1180,6892,6892,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1181,6893,6893,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1182,6894,6894,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1183,6895,6895,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1184,6896,6896,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1185,6897,6897,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1186,6898,6898,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1187,6899,6899,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1188,6900,6900,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1189,6901,6901,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1190,6902,6902,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1191,6903,6903,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1192,6904,6904,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1193,6905,6905,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1194,6906,6906,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1195,6907,6907,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1197,6909,6909,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1198,6910,6910,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1199,6911,6911,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1200,6912,6912,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1201,6913,6913,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1202,6914,6914,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1203,6915,6915,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1204,6916,6916,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1205,6917,6917,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1206,6918,6918,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1207,6919,6919,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1208,6920,6920,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1209,6921,6921,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1210,6922,6922,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1211,6923,6923,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1212,6924,6924,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1213,6925,6925,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1214,6926,6926,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1216,6928,6928,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1217,6929,6929,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1218,6930,6930,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1219,6931,6931,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1220,6932,6932,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1221,6933,6933,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1222,6934,6934,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1223,6935,6935,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1224,6936,6936,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1225,6937,6937,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1226,6938,6938,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1227,6939,6939,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1228,6940,6940,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1229,6941,6941,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1231,6943,6943,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1232,6944,6944,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1233,6945,6945,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1234,6946,6946,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1235,6947,6947,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1236,6948,6948,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1237,6949,6949,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1238,6950,6950,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1239,6951,6951,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1240,6952,6952,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1241,6953,6953,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1242,6954,6954,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1243,6955,6955,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1244,6956,6956,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1245,6957,6957,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1246,6958,6958,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1247,6959,6959,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1248,6960,6960,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1249,6961,6961,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1250,6962,6962,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1251,6963,6963,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1252,6964,6964,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1253,6965,6965,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1254,6966,6966,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1255,6967,6967,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1256,6968,6968,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1257,6969,6969,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1258,6970,6970,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1259,6971,6971,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1260,6972,6972,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1261,6973,6973,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1262,6974,6974,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1263,6975,6975,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1264,6976,6976,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1265,6977,6977,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1266,6978,6978,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1267,6979,6979,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1333,6981,6750,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1334,6981,6805,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1335,6981,6871,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
1336,6982,6750,,5.5000000000000000e+01,0.0000000000000000e+00,0,0
1337,6982,6805,,1.0000000000000000e+02,0.0000000000000000e+00,0,0
1338,6982,6863,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1339,6982,6871,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1340,6983,6750,,5.5000000000000000e+01,0.0000000000000000e+00,0,0
1341,6983,6805,,1.0500000000000000e+02,0.0000000000000000e+00,0,0
1342,6983,6863,,8.5000000000000000e+00,0.0000000000000000e+00,0,0
1343,6983,6871,,2.5000000000000000e+00,0.0000000000000000e+00,0,0
1344,6986,8072,,3.7500000000000000e+01,0.0000000000000000e+00,0,0
1345,6986,6750,,3.7500000000000000e+01,0.0000000000000000e+00,0,0
1346,6991,6750,,1.0000000000000000e+01,0.0000000000000000e+00,0,0
1347,6991,6816,,1.2000000000000000e+01,0.0000000000000000e+00,0,0
1348,6991,6819,,6.0000000000000000e+00,0.0000000000000000e+00,0,0
1349,6992,6750,,1.0000000000000000e+01,0.0000000000000000e+00,0,0
1350,6992,6816,,1.2000000000000000e+01,0.0000000000000000e+00,0,0
1351,6992,6819,,6.0000000000000000e+00,0.0000000000000000e+00,0,0
1358,6995,6750,,4.0000000000000000e+00,0.0000000000000000e+00,0,0
1359,6995,6797,,3.0000000000000000e+00,0.0000000000000000e+00,0,0
1360,6995,6917,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1361,6995,6899,,1.5000000000000000e+00,0.0000000000000000e+00,0,0
1362,6995,6834,,8.0000000000000000e+00,0.0000000000000000e+00,0,0
1363,6995,6863,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
1364,6995,6896,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
1365,6995,6833,,8.0000000000000000e+00,0.0000000000000000e+00,0,0
1366,6996,6829,,7.0000000000000000e+00,0.0000000000000000e+00,0,0
1367,6996,6808,,1.5000000000000000e+00,0.0000000000000000e+00,0,0
1368,6996,6816,,1.3999999999999999e+00,0.0000000000000000e+00,0,0
1369,6996,6919,,2.5000000000000000e-01,0.0000000000000000e+00,0,0
1370,6996,6891,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
1371,6996,6890,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
1372,6997,6803,,3.2999999999999998e+00,0.0000000000000000e+00,0,0
1373,6997,6811,,8.5000000000000000e+00,0.0000000000000000e+00,0,0
1374,6997,6877,,1.4999999999999999e-01,0.0000000000000000e+00,0,0
1375,6997,6750,,6.2500000000000000e+00,0.0000000000000000e+00,0,0
1376,6997,6863,,2.3999999999999999e-01,0.0000000000000000e+00,0,0
1377,6997,6871,,2.5000000000000000e-01,0.0000000000000000e+00,0,0
1378,6997,6921,,1.2000000000000000e-01,0.0000000000000000e+00,0,0
1379,6997,6816,,1.8000000000000000e+00,0.0000000000000000e+00,0,0
1380,6997,6814,,2.3000000000000001e-01,0.0000000000000000e+00,0,0
1381,6997,6878,,2.3999999999999999e-01,0.0000000000000000e+00,0,0
1382,7005,6798,,2.1000000000000000e+01,0.0000000000000000e+00,0,0
1383,7005,6880,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
1384,7005,6750,,1.2000000000000000e+01,0.0000000000000000e+00,0,0
1385,7005,6863,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
1386,7005,6871,,5.0000000000000000e-01,0.0000000000000000e+00,0,0
1387,7005,6913,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
1388,7005,6816,,6.9999999999999996e-01,0.0000000000000000e+00,0,0
1389,7005,6814,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
1390,7005,6866,,2.9999999999999999e-02,0.0000000000000000e+00,0,0
1391,7005,6809,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1392,7006,6880,,1.8819999999999999e+00,0.0000000000000000e+00,0,0
1393,7006,6798,,1.0000000000000000e+02,0.0000000000000000e+00,0,0
1394,7006,6871,,5.8819999999999997e+00,0.0000000000000000e+00,0,0
1395,7006,6899,,1.5000000000000000e+01,0.0000000000000000e+00,0,0
1396,7006,7279,,9.4120000000000008e+00,0.0000000000000000e+00,0,0
1397,7006,8073,,3.1763999999999999e+01,0.0000000000000000e+00,0,0
1398,7193,7193,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1400,7195,7195,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1401,7196,7196,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1402,7197,7197,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1403,7198,7198,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1404,7199,7199,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1405,7200,7200,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1406,7201,7201,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1407,7202,7202,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1408,7203,7203,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1409,7204,7204,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1410,7205,7205,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1411,7206,7206,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1412,7207,7207,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1415,7210,7210,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1416,7211,7211,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1417,7212,7212,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1418,7213,7213,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1419,7214,7214,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1420,7215,7215,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1421,7217,7217,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1422,7218,7218,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1423,7219,7219,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1424,7220,7220,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1425,7221,7221,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1426,7222,7222,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1427,7223,7223,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1428,7224,7224,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1429,7225,7225,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1431,7231,7231,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1432,7227,7227,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1433,7228,7228,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1434,7229,7229,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1435,7230,7230,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1436,7233,7233,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1438,7235,7235,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1439,7236,7236,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1440,7237,7237,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1441,7238,7238,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1442,7239,7239,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1443,7240,7240,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1444,7241,7241,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1445,7242,7242,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1446,7243,7243,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1447,7244,7244,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1448,7245,7245,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1449,7246,7246,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1450,6983,6959,,6.3000000000000000e-01,0.0000000000000000e+00,0,0
1451,6988,6797,,2.5000000000000000e+00,0.0000000000000000e+00,0,0
1452,6988,6817,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1453,6988,6891,,4.0000000000000001e-03,0.0000000000000000e+00,0,0
1454,6988,6899,"Στα 550γρμ. τα 150γρμ.είναι κροκοι",5.5000000000000004e-01,0.0000000000000000e+00,0,0
1455,6988,6913,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1456,7247,6817,,1.6000000000000001e+00,0.0000000000000000e+00,0,0
1457,7247,6797,,3.5000000000000000e+00,0.0000000000000000e+00,0,0
1458,7247,6828,,2.5000000000000000e-01,0.0000000000000000e+00,0,0
1459,7247,6899,,1.3999999999999999e+00,0.0000000000000000e+00,0,0
1460,7247,6913,,1.8999999999999999e+00,0.0000000000000000e+00,0,0
1461,7247,6919,,5.0000000000000000e-01,0.0000000000000000e+00,0,0
1462,7247,6891,,3.0000000000000001e-03,0.0000000000000000e+00,0,0
1464,7248,7248,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1465,6993,7248,"ΣΥΣΚ.,500 ΓΡΜ.",1.0000000000000000e+00,0.0000000000000000e+00,0,0
1466,6993,6845,"ΣΥΣΚ.,400 ΓΡΜ.",4.0000000000000002e-01,0.0000000000000000e+00,0,0
1467,6993,6863,,3.5000000000000003e-02,0.0000000000000000e+00,0,0
1468,6993,6896,,4.0000000000000001e-03,0.0000000000000000e+00,0,0
1472,7250,7250,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1473,7251,7251,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1474,6993,7251,,5.0000000000000001e-03,0.0000000000000000e+00,0,0
1475,6993,7250,,5.0000000000000001e-03,0.0000000000000000e+00,0,0
1476,6993,6816,,2.9999999999999999e-02,0.0000000000000000e+00,0,0
1477,6993,6920,,8.0000000000000002e-02,0.0000000000000000e+00,0,0
1478,6993,6842,,1.0000000000000000e-03,0.0000000000000000e+00,0,0
1479,6993,6846,,1.0000000000000000e-04,0.0000000000000000e+00,0,0
1480,6998,6921,,5.0000000000000000e+00,0.0000000000000000e+00,0,0
1481,6998,6816,,1.2500000000000000e+00,0.0000000000000000e+00,0,0
1482,6998,6838,"1,100 ολόκλ..πορτ.+1,100 χυμός",2.2000000000000002e+00,0.0000000000000000e+00,0,0
1483,7252,7252,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1485,6998,6797,"Βάζουμε  9,520 kgr αλεύρι",1.0000000000000000e+01,0.0000000000000000e+00,0,0
1486,6998,6929,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1487,6998,6874,"5 ΚΟΥΤΑΛΑΚΙΑ",5.0000000000000003e-02,0.0000000000000000e+00,0,0
1488,6998,6892,"5 ΚΟΥΤΑΛΑΚΙΑ",5.0000000000000003e-02,0.0000000000000000e+00,0,0
1489,6998,6890,"5 ΣΟΥΠΑΣ",1.0000000000000001e-01,0.0000000000000000e+00,0,0
1490,6998,6863,"1 ΚΟΥΤΑΛΙ",2.0000000000000000e-02,0.0000000000000000e+00,0,0
1491,6998,6862,,1.1500000000000000e-01,0.0000000000000000e+00,0,0
1492,6998,6905,,5.0000000000000000e-01,0.0000000000000000e+00,0,0
1493,7253,6750,"10   ΤΖΕΠΟΣ",3.0000000000000000e+00,0.0000000000000000e+00,0,0
1494,7253,6816,"10",3.5000000000000000e+00,0.0000000000000000e+00,0,0
1495,7253,6819,"10",5.0000000000000000e-01,0.0000000000000000e+00,0,0
1496,7253,6820,"2,5",3.3000000000000002e-01,0.0000000000000000e+00,0,0
1497,6999,6797,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
1498,6999,6817,,2.0000000000000001e-01,0.0000000000000000e+00,0,0
1499,6999,6862,,1.4999999999999999e-02,0.0000000000000000e+00,0,0
1500,6999,6891,,5.0000000000000001e-03,0.0000000000000000e+00,0,0
1501,6999,6903,,5.0000000000000000e-01,0.0000000000000000e+00,0,0
1502,6999,6917,,1.7499999999999999e-01,0.0000000000000000e+00,0,0
1503,6999,6924,"ΓΥΔΙΝΟ",1.7499999999999999e-01,0.0000000000000000e+00,0,0
1504,6999,6929,,4.4999999999999998e-02,0.0000000000000000e+00,0,0
1505,7000,6797,,5.2000000000000002e+00,0.0000000000000000e+00,0,0
1506,7000,6921,,3.0000000000000000e+00,0.0000000000000000e+00,0,0
1507,7000,6862,,1.4999999999999999e-01,0.0000000000000000e+00,0,0
1508,7000,6929,,2.0000000000000001e-01,0.0000000000000000e+00,0,0
1509,7000,6930,,1.2000000000000000e+00,0.0000000000000000e+00,0,0
1510,7000,6890,,2.9999999999999999e-02,0.0000000000000000e+00,0,0
1511,7001,6797,,1.7000000000000000e+00,0.0000000000000000e+00,0,0
1512,7001,6816,,6.9999999999999996e-01,0.0000000000000000e+00,0,0
1513,7001,6862,,2.0000000000000000e-02,0.0000000000000000e+00,0,0
1514,7001,6891,,4.0000000000000001e-03,0.0000000000000000e+00,0,0
1515,7001,6905,,5.9999999999999998e-01,0.0000000000000000e+00,0,0
1516,7001,7221,,7.5000000000000000e-01,0.0000000000000000e+00,0,0
1517,7001,6913,,1.1499999999999999e+00,0.0000000000000000e+00,0,0
1518,7001,6921,,1.4999999999999999e-01,0.0000000000000000e+00,0,0
1519,7002,6750,,3.7500000000000000e-01,0.0000000000000000e+00,0,0
1520,7002,6921,,3.7500000000000000e-01,0.0000000000000000e+00,0,0
1521,7002,6947,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
1522,7002,6905,,2.9999999999999999e-01,0.0000000000000000e+00,0,0
1523,7002,6890,,1.0000000000000000e-02,0.0000000000000000e+00,0,0
