IDProdDate,Date,Print,PrDateSxolia
1145,"06/27/08 00:00:00",0,
1146,"06/28/08 00:00:00",0,
1147,"06/30/08 00:00:00",0,
1148,"07/01/08 00:00:00",0,
1149,"07/02/08 00:00:00",0,
1150,"07/03/08 00:00:00",0,
1151,"07/04/08 00:00:00",0,
1152,"07/05/08 00:00:00",0,
1153,"07/07/08 00:00:00",0,
1154,"07/08/08 00:00:00",0,
1155,"07/09/08 00:00:00",0,
1156,"07/10/08 00:00:00",0,
1157,"07/11/08 00:00:00",0,
1158,"07/12/08 00:00:00",0,
1159,"07/14/08 00:00:00",0,
1160,"07/15/08 00:00:00",0,
1161,"07/16/08 00:00:00",0,
1162,"07/17/08 00:00:00",0,
1163,"07/18/08 00:00:00",0,
1164,"07/19/08 00:00:00",0,
1165,"07/21/08 00:00:00",0,
1166,"07/22/08 00:00:00",0,
1167,"07/23/08 00:00:00",0,
1168,"07/24/08 00:00:00",0,
1169,"07/25/08 00:00:00",0,
1170,"07/26/08 00:00:00",0,
1171,"07/28/08 00:00:00",0,
1172,"07/29/08 00:00:00",0,
1173,"07/30/08 00:00:00",0,
1174,"07/31/08 00:00:00",0,
1175,"08/01/08 00:00:00",0,
1176,"08/02/08 00:00:00",0,
1177,"08/04/08 00:00:00",0,
1178,"08/05/08 00:00:00",0,
1180,"08/06/08 00:00:00",0,
1181,"08/07/08 00:00:00",0,
1182,"08/08/08 00:00:00",0,
1183,"08/09/08 00:00:00",0,
1184,"08/11/08 00:00:00",0,
1185,"08/12/08 00:00:00",0,
1186,"08/13/08 00:00:00",0,
1187,"08/14/08 00:00:00",0,
1188,"08/16/08 00:00:00",0,
1189,"08/18/08 00:00:00",0,
1190,"08/19/08 00:00:00",0,
1191,"08/20/08 00:00:00",0,
1192,"08/21/08 00:00:00",0,
1193,"08/22/08 00:00:00",0,
1194,"08/23/08 00:00:00",0,
1195,"08/25/08 00:00:00",0,
1196,"08/26/08 00:00:00",0,
1197,"08/27/08 00:00:00",0,
1198,"08/28/08 00:00:00",0,
1199,"08/29/08 00:00:00",0,
1200,"08/30/08 00:00:00",0,
1201,"09/01/08 00:00:00",0,
1202,"09/02/08 00:00:00",0,
1203,"09/03/08 00:00:00",0,
1204,"09/04/08 00:00:00",0,
1205,"09/05/08 00:00:00",0,
1206,"09/06/08 00:00:00",0,
1207,"09/08/08 00:00:00",0,
1208,"09/09/08 00:00:00",0,
1209,"09/10/08 00:00:00",0,
1210,"09/11/08 00:00:00",0,
1211,"09/12/08 00:00:00",0,
1212,"09/13/08 00:00:00",0,
1213,"09/15/08 00:00:00",0,
1214,"09/16/08 00:00:00",0,
1215,"09/17/08 00:00:00",0,
1216,"09/18/08 00:00:00",0,
1217,"09/19/08 00:00:00",0,
1218,"09/20/08 00:00:00",0,
1219,"09/22/08 00:00:00",0,
1220,"09/23/08 00:00:00",0,
1221,"09/24/08 00:00:00",0,
1222,"09/25/08 00:00:00",0,
1223,"09/26/08 00:00:00",0,
1224,"09/27/08 00:00:00",0,
1225,"09/29/08 00:00:00",0,
1226,"09/30/08 00:00:00",0,
1227,"10/01/08 00:00:00",0,
1228,"10/02/08 00:00:00",0,
1229,"10/03/08 00:00:00",0,
1230,"10/04/08 00:00:00",0,
1231,"10/06/08 00:00:00",0,
1232,"10/07/08 00:00:00",0,
1234,"10/08/08 00:00:00",0,
1235,"10/09/08 00:00:00",0,
1236,"10/10/08 00:00:00",0,
1237,"10/11/08 00:00:00",0,
1238,"10/13/08 00:00:00",0,
1239,"10/14/08 00:00:00",0,
1240,"10/15/08 00:00:00",0,
1241,"10/16/08 00:00:00",0,
1242,"10/17/08 00:00:00",0,
1243,"10/18/08 00:00:00",0,
1244,"10/20/08 00:00:00",0,
1245,"10/21/08 00:00:00",0,
1246,"10/22/08 00:00:00",0,
1247,"10/23/08 00:00:00",0,
1248,"10/24/08 00:00:00",0,
1249,"10/25/08 00:00:00",0,
1250,"10/27/08 00:00:00",0,
1251,"10/29/08 00:00:00",0,
1252,"10/30/08 00:00:00",0,
1253,"10/31/08 00:00:00",0,
1254,"11/01/08 00:00:00",0,
1255,"11/03/08 00:00:00",0,
1256,"11/04/08 00:00:00",0,
1257,"11/05/08 00:00:00",0,
1258,"11/06/08 00:00:00",0,
1259,"11/07/08 00:00:00",0,
1260,"11/08/08 00:00:00",0,
1261,"11/10/08 00:00:00",0,
1262,"11/11/08 00:00:00",0,
1263,"11/12/08 00:00:00",0,
1264,"11/13/08 00:00:00",0,
1265,"11/14/08 00:00:00",0,
1266,"11/15/08 00:00:00",0,
1267,"11/17/08 00:00:00",0,
1268,"11/18/08 00:00:00",0,
