IDC_FASH,IDSort,IDC_FASHSxolia,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7060,6805,,1.5000000000000000e+01,0.0000000000000000e+00,0,0
7060,6806,,4.5000000000000000e+01,0.0000000000000000e+00,0,0
7060,6808,,1.0000000000000000e+01,0.0000000000000000e+00,0,0
7060,6814,,3.5000000000000000e+00,0.0000000000000000e+00,0,0
7060,6816,,4.0000000000000002e-01,0.0000000000000000e+00,0,0
7060,6863,,1.3500000000000001e+00,2.0000000000000000e+00,0,0
7060,6868,,1.0000000000000000e-03,0.0000000000000000e+00,0,0
7060,6871,"Καλοκαίρι 1%",1.2500000000000000e+00,0.0000000000000000e+00,0,0
7060,6877,,8.0000000000000004e-01,0.0000000000000000e+00,0,0
7060,6921,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6750,,5.0000000000000000e+01,0.0000000000000000e+00,0,0
7061,6803,,1.5000000000000000e+01,0.0000000000000000e+00,0,0
7061,6805,,4.0000000000000000e+01,0.0000000000000000e+00,0,0
7061,6806,,4.0000000000000000e+01,0.0000000000000000e+00,0,0
7061,6814,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6816,,2.5000000000000000e+00,0.0000000000000000e+00,0,0
7061,6846,"6",5.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6849,"10",5.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6863,,2.2000000000000002e+00,0.0000000000000000e+00,0,0
7061,6871,,2.5000000000000000e+00,0.0000000000000000e+00,0,0
7061,6920,,5.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,7410,"5",3.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,7548,,1.0000000000000000e-03,0.0000000000000000e+00,0,0
7061,7878,"10",1.5000000000000000e+01,0.0000000000000000e+00,0,0
7061,7887,,3.4999999999999998e-01,0.0000000000000000e+00,0,0
7062,6750,"χειμώνας 49",5.2000000000000000e+01,0.0000000000000000e+00,0,0
7062,6801,"30",2.5000000000000000e+01,0.0000000000000000e+00,0,0
7062,6805,"60",6.5000000000000000e+01,0.0000000000000000e+00,0,0
7062,6863,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6870,"1,5",1.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6871,,2.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6877,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6921,,5.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6986,,2.0000000000000000e+01,0.0000000000000000e+00,0,0
7063,6750,,6.2000000000000000e+01,0.0000000000000000e+00,0,0
7063,6805,,5.5000000000000000e+01,0.0000000000000000e+00,0,0
7063,6870,,0.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,6871,"καλοκαίρι 2%            1,5     0,8",8.0000000000000004e-01,0.0000000000000000e+00,0,0
7063,6877,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,6958,,4.5000000000000000e+01,0.0000000000000000e+00,0,0
7063,7195,,1.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,7598,,4.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,7864,,1.0000000000000000e-03,0.0000000000000000e+00,0,0
7064,6750,,6.6500000000000000e+01,0.0000000000000000e+00,0,0
7064,6797,,4.5000000000000000e+01,0.0000000000000000e+00,0,0
7064,6808,,1.0000000000000000e+01,0.0000000000000000e+00,0,0
7064,6811,,4.5000000000000000e+01,0.0000000000000000e+00,0,0
