IDSort,IDSortStorage,SortDescr,IDRaw,IDCategory,IDSortSubCategory,IDMUnit,PieceWeithg,IDOperation,SortYield,SortActivate,Price,IDSortRecipe,IDSortDelete,IDSortLoked,Icon,Text1,Text2,Text3,No1,No2,No3,Date1,Date2,Memo1,YesNo1,YesNo2
6727,,"ΧΩΡΙΣ ΥΑΣ",,"ΥΑΣ",,1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0,0.0000,1,0,1,,,,,,,,,,,0,0
6729,,"ΧΩΡΙΣ ΥΤΣ",,"ΥΤΣ",,1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,0,0.0000,1,0,1,,,,,,,,,,,0,0
6750,"200001","ΝΕΡΟ",1,"Α_ΥΛΗ",,1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.0100,1,0,0,,,,,,,,,,,0,0
6797,"200102","ΑΛΕΥΡΙ Τ 70% ΜΑΛΑΚΟ",849,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.3760,1,0,0,,,,,,,,,,,0,0
6798,"200103","ΑΛΕΥΡΙ Π55 ΑΡΤΟΠΟΙΙΑΣ",4,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.5400,1,0,0,,,,,,,,,,,0,0
6799,"200105","ΑΛΕΥΡΙ ΣΙΚΑΛΗΣ 997",870,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.5900,1,0,0,,,,,,,,,,,0,0
6800,"200106","ΑΛΕΥΡΙ 90%  ΟΛΙΚΗΣ",7,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.5210,1,0,0,,,,,,,,,,,0,0
6801,"200107","ΑΛΕΥΡΙ ΚΑΛΑΜΠΟΚΙΟΥ",8,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6500,1,0,0,,,,,,,,,,,0,0
6802,"200109","ΑΛΕΥΡΙ ΟΛΙΚΗΣ ΑΛΕΣΗΣ",10,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6310,1,0,0,,,,,,,,,,,0,0
6803,"200110","ΑΛΕΥΡΙ ΣΟΥΠΕΡ",11,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.7960,1,0,0,,,,,,,,,,,0,0
6804,"200111","ΑΛΕΥΡΙ ΣΦΟΛΙΑΤΑΣ",12,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6110,1,0,0,,,,,,,,,,,0,0
6805,"200112","ΑΛΕΥΡΙ Τ. 70% ΔΥΝΑΤΟ",13,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.3910,1,0,0,,,,,,,,,,,0,0
6806,"200113","ΑΛΕΥΡΙ  τ. Μ",14,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.3960,1,0,0,,,,,,,,,,,0,0
6808,"200121","ΣΙΜΙΓΔΑΛΙ ΨΙΛΟ",22,"Α_ΥΛΗ","2001",1,1.0000000000000000e+00,"Χ_Φ",1.0000000000000000e+00,1,0.6020,1,0,0,,,,,,,,,,,0,0
