IDSalesDate,SalesDate,SalesPrint,IDMarketer
147,"12/30/05 00:00:00",0,879
148,"12/30/05 00:00:00",0,880
149,"12/31/05 00:00:00",0,880
150,"12/31/05 00:00:00",0,890
151,"12/31/05 00:00:00",0,879
152,"01/03/06 00:00:00",0,890
153,"01/03/06 00:00:00",0,879
154,"01/03/06 00:00:00",0,880
155,"01/04/06 00:00:00",0,890
156,"01/04/06 00:00:00",0,879
157,"01/04/06 00:00:00",0,880
158,"01/05/06 00:00:00",0,890
159,"01/05/06 00:00:00",0,880
160,"01/05/06 00:00:00",0,879
161,"01/07/06 00:00:00",0,880
162,"01/07/06 00:00:00",0,879
163,"01/07/06 00:00:00",0,890
164,"01/09/06 00:00:00",0,879
165,"01/09/06 00:00:00",0,890
166,"01/09/06 00:00:00",0,880
167,"01/10/06 00:00:00",0,890
168,"01/10/06 00:00:00",0,879
169,"01/10/06 00:00:00",0,880
170,"01/11/06 00:00:00",0,879
171,"01/11/06 00:00:00",0,890
172,"01/11/06 00:00:00",0,880
173,"01/12/06 00:00:00",0,890
174,"01/12/06 00:00:00",0,879
175,"01/12/06 00:00:00",0,880
176,"01/13/06 00:00:00",0,890
177,"01/13/06 00:00:00",0,879
178,"01/13/06 00:00:00",0,880
179,"01/14/06 00:00:00",0,890
180,"01/14/06 00:00:00",0,880
181,"01/14/06 00:00:00",0,879
182,"01/16/06 00:00:00",0,879
183,"01/16/06 00:00:00",0,890
184,"01/16/06 00:00:00",0,880
185,"01/17/06 00:00:00",0,879
186,"01/17/06 00:00:00",0,890
187,"01/17/06 00:00:00",0,880
188,"01/18/06 00:00:00",0,890
189,"01/18/06 00:00:00",0,879
190,"01/18/06 00:00:00",0,880
191,"01/19/06 00:00:00",0,890
192,"01/19/06 00:00:00",0,879
193,"01/19/06 00:00:00",0,880
194,"01/20/06 00:00:00",0,890
195,"01/20/06 00:00:00",0,879
196,"01/20/06 00:00:00",0,880
197,"01/21/06 00:00:00",0,890
198,"01/21/06 00:00:00",0,880
199,"01/21/06 00:00:00",0,879
200,"01/23/06 00:00:00",0,879
201,"01/23/06 00:00:00",0,890
202,"01/23/06 00:00:00",0,880
203,"01/24/06 00:00:00",0,890
204,"01/24/06 00:00:00",0,879
205,"01/24/06 00:00:00",0,880
206,"01/25/06 00:00:00",0,880
207,"01/25/06 00:00:00",0,890
208,"01/25/06 00:00:00",0,879
209,"01/26/06 00:00:00",0,890
210,"01/26/06 00:00:00",0,879
211,"01/26/06 00:00:00",0,880
212,"01/27/06 00:00:00",0,879
213,"01/27/06 00:00:00",0,890
214,"01/27/06 00:00:00",0,880
215,"01/28/06 00:00:00",0,880
216,"01/28/06 00:00:00",0,890
217,"01/28/06 00:00:00",0,879
218,"01/30/06 00:00:00",0,890
219,"01/30/06 00:00:00",0,879
220,"01/30/06 00:00:00",0,880
221,"01/31/06 00:00:00",0,890
222,"01/31/06 00:00:00",0,879
223,"02/01/06 00:00:00",0,879
224,"02/01/06 00:00:00",0,880
225,"02/01/06 00:00:00",0,890
226,"02/02/06 00:00:00",0,879
227,"01/31/06 00:00:00",0,880
228,"02/01/06 00:00:00",0,890
229,"02/01/06 00:00:00",0,880
230,"02/02/06 00:00:00",0,890
231,"02/02/06 00:00:00",0,879
232,"02/02/06 00:00:00",0,880
233,"02/03/06 00:00:00",0,880
234,"02/03/06 00:00:00",0,890
235,"02/03/06 00:00:00",0,879
236,"02/04/06 00:00:00",0,890
237,"02/04/06 00:00:00",0,879
238,"02/04/06 00:00:00",0,880
239,"02/06/06 00:00:00",0,890
240,"02/06/06 00:00:00",0,879
241,"02/06/06 00:00:00",0,880
242,"02/07/06 00:00:00",0,890
243,"02/07/06 00:00:00",0,879
244,"02/07/06 00:00:00",0,880
245,"02/08/06 00:00:00",0,879
246,"02/08/06 00:00:00",0,890
247,"02/08/06 00:00:00",0,880
248,"02/09/06 00:00:00",0,890
249,"02/09/06 00:00:00",0,880
250,"02/10/06 00:00:00",0,879
251,"02/10/06 00:00:00",0,890
252,"02/10/06 00:00:00",0,880
253,"02/11/06 00:00:00",0,879
254,"02/11/06 00:00:00",0,880
255,"02/11/06 00:00:00",0,890
256,"02/09/06 00:00:00",0,879
257,"02/13/06 00:00:00",0,879
258,"02/13/06 00:00:00",0,890
259,"02/13/06 00:00:00",0,880
260,"02/14/06 00:00:00",0,890
261,"02/14/06 00:00:00",0,879
262,"02/14/06 00:00:00",0,880
263,"02/15/06 00:00:00",0,879
264,"02/15/06 00:00:00",0,890
265,"02/15/06 00:00:00",0,880
266,"02/16/06 00:00:00",0,879
267,"02/16/06 00:00:00",0,880
268,"02/16/06 00:00:00",0,890
269,"02/17/06 00:00:00",0,879
270,"02/17/06 00:00:00",0,880
271,"02/17/06 00:00:00",0,890
272,"02/18/06 00:00:00",0,890
273,"02/18/06 00:00:00",0,879
274,"02/18/06 00:00:00",0,880
275,"02/20/06 00:00:00",0,879
276,"02/20/06 00:00:00",0,890
277,"02/20/06 00:00:00",0,880
278,"02/21/06 00:00:00",0,890
279,"02/21/06 00:00:00",0,879
280,"02/21/06 00:00:00",0,880
281,"02/22/06 00:00:00",0,879
282,"02/22/06 00:00:00",0,890
283,"02/22/06 00:00:00",0,880
284,"02/23/06 00:00:00",0,890
285,"02/23/06 00:00:00",0,880
286,"02/23/06 00:00:00",0,879
287,"02/24/06 00:00:00",0,880
288,"02/24/06 00:00:00",0,890
289,"02/24/06 00:00:00",0,879
290,"02/25/06 00:00:00",0,879
291,"02/25/06 00:00:00",0,890
292,"02/25/06 00:00:00",0,880
293,"02/27/06 00:00:00",0,890
294,"02/27/06 00:00:00",0,879
295,"02/27/06 00:00:00",0,880
296,"02/28/06 00:00:00",0,890
297,"02/28/06 00:00:00",0,879
298,"02/28/06 00:00:00",0,880
299,"03/01/06 00:00:00",0,890
300,"03/01/06 00:00:00",0,879
301,"03/01/06 00:00:00",0,880
302,"03/02/06 00:00:00",0,890
303,"03/02/06 00:00:00",0,879
304,"03/02/06 00:00:00",0,880
305,"03/03/06 00:00:00",0,890
306,"03/03/06 00:00:00",0,879
307,"03/03/06 00:00:00",0,880
308,"03/04/06 00:00:00",0,890
309,"03/04/06 00:00:00",0,880
310,"03/04/06 00:00:00",0,879
311,"03/06/06 00:00:00",0,890
312,"03/06/06 00:00:00",0,880
313,"03/06/06 00:00:00",0,879
314,"03/07/06 00:00:00",0,890
315,"03/07/06 00:00:00",0,879
316,"03/07/06 00:00:00",0,880
317,"03/08/06 00:00:00",0,890
318,"03/08/06 00:00:00",0,879
319,"03/08/06 00:00:00",0,880
320,"03/09/06 00:00:00",0,890
321,"03/09/06 00:00:00",0,879
322,"03/09/06 00:00:00",0,880
323,"03/10/06 00:00:00",0,879
324,"03/10/06 00:00:00",0,890
325,"03/10/06 00:00:00",0,880
326,"03/11/06 00:00:00",0,890
327,"03/11/06 00:00:00",0,879
328,"03/11/06 00:00:00",0,880
329,"03/13/06 00:00:00",0,879
330,"03/13/06 00:00:00",0,890
331,"03/13/06 00:00:00",0,880
332,"03/14/06 00:00:00",0,890
333,"03/14/06 00:00:00",0,879
334,"03/14/06 00:00:00",0,880
335,"03/15/06 00:00:00",0,890
336,"03/15/06 00:00:00",0,879
337,"03/15/06 00:00:00",0,880
338,"03/16/06 00:00:00",0,890
339,"03/16/06 00:00:00",0,879
340,"03/16/06 00:00:00",0,880
341,"03/17/06 00:00:00",0,879
342,"03/17/06 00:00:00",0,890
343,"03/17/06 00:00:00",0,880
344,"03/18/06 00:00:00",0,890
345,"03/18/06 00:00:00",0,879
346,"03/18/06 00:00:00",0,880
347,"03/20/06 00:00:00",0,890
348,"03/20/06 00:00:00",0,879
349,"03/20/06 00:00:00",0,880
350,"03/21/06 00:00:00",0,890
351,"03/21/06 00:00:00",0,880
352,"03/21/06 00:00:00",0,879
353,"03/22/06 00:00:00",0,890
354,"03/22/06 00:00:00",0,880
355,"03/22/06 00:00:00",0,879
356,"03/23/06 00:00:00",0,890
357,"03/23/06 00:00:00",0,879
358,"03/23/06 00:00:00",0,880
359,"03/24/06 00:00:00",0,890
360,"03/24/06 00:00:00",0,880
361,"03/24/06 00:00:00",0,879
362,"03/27/06 00:00:00",0,890
363,"03/27/06 00:00:00",0,879
364,"03/27/06 00:00:00",0,880
365,"03/28/06 00:00:00",0,880
366,"03/28/06 00:00:00",0,890
367,"03/28/06 00:00:00",0,879
368,"03/29/06 00:00:00",0,890
369,"03/29/06 00:00:00",0,879
370,"03/29/06 00:00:00",0,880
371,"03/30/06 00:00:00",0,890
372,"03/30/06 00:00:00",0,879
373,"03/30/06 00:00:00",0,880
374,"03/31/06 00:00:00",0,879
