IDRaw,Choice,Raw,IDCompositionDescription,IDCategory,Carbohydrt,Sugars,OrganicsAcid,Polyols,Alcohol,Fats,Protein,Ash,Fiber_,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,FA_Sat,FA_Mono,FA_Poly,Cholestrl,Emulsifiers,Stabilizers,CocosButter,MilkFats,Presevatives,Flavors,Colors
161,0,"ΓΑΡΥΦΑΛΟ",435,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00
162,0,"ΣΑΛΕΠΙ",36,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00
165,0,"ΚΟΤΟΠΟΥΛΟ ΝΩΠΟ",334,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,2.2000000000000000e-01,3.0000000000000001e-03,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
171,0,"ΜΟΣΧΑΡΙ ΚΙΜΑΣ",226,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000002e-02,2.0000000000000001e-01,3.0000000000000001e-03,0.0000000000000000e+00,69,5.89999974e-01,13,64,67,97,1.41999996e+00,7.00000003e-02,8.50000009e-02,1.29000004e-02,1.53000001e-02,1.79999997e-03,122,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
174,0,"ΣΥΚΩΤΙ",412,"Α_ΥΛΗ",4.0000000000000001e-02,4.0000000000000001e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000003e-02,2.0000000000000001e-01,4.0000000000000001e-03,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
175,0,"ΧΟΙΡΙΝΟ ΚΙΜΑΣ",424,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9999999999999999e-01,1.4999999999999999e-01,3.0000000000000001e-03,0.0000000000000000e+00,70,5.79999983e-01,6,75,63,132,7.59999990e-01,7.00000003e-02,0.00000000e+00,3.57000008e-02,6.28999993e-02,1.09000001e-02,88,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
176,0,"ΧΟΙΡΙΝΟ ΣΝΙΤΣΕΛ",424,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9999999999999999e-01,1.4999999999999999e-01,3.0000000000000001e-03,0.0000000000000000e+00,70,5.79999983e-01,6,75,63,132,7.59999990e-01,7.00000003e-02,0.00000000e+00,3.57000008e-02,6.28999993e-02,1.09000001e-02,88,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
177,0,"ΧΟΙΡΙΝΟ ΦΙΛΕΤΟ",424,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9999999999999999e-01,1.4999999999999999e-01,3.0000000000000001e-03,0.0000000000000000e+00,70,5.79999983e-01,6,75,63,132,7.59999990e-01,7.00000003e-02,0.00000000e+00,3.57000008e-02,6.28999993e-02,1.09000001e-02,88,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
179,0,"ΑΡΝΙ ΚΙΜΑΣ",163,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6300000000000011e-02,2.6710000000000000e-01,1.0500000000000001e-02,0.0000000000000000e+00,16,2.04999995e+00,24,207,318,80,5.13999987e+00,1.52999997e-01,1.40000004e-02,4.05000001e-02,3.86000015e-02,4.19999985e-03,87,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
180,0,"ΑΡΝΙ ΜΠΟΥΤΙ",163,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6300000000000011e-02,2.6710000000000000e-01,1.0500000000000001e-02,0.0000000000000000e+00,16,2.04999995e+00,24,207,318,80,5.13999987e+00,1.52999997e-01,1.40000004e-02,4.05000001e-02,3.86000015e-02,4.19999985e-03,87,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
182,0,"ΖΑΜΠΟΝ",198,"Α_ΥΛΗ",2.8000000000000004e-03,2.8000000000000004e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8830000000000000e-01,1.6059999999999999e-01,4.0800000000000003e-02,0.0000000000000000e+00,7,9.49999988e-01,13,139,284,1365,1.83000004e+00,5.00000007e-02,2.50000004e-02,6.27999976e-02,9.17000026e-02,2.05000006e-02,49,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
183,0,"ΛΑΒΡΑΚΙ",344,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e-02,2.0000000000000001e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
184,0,"ΜΠΑΡΜΠΟΥΝΙ",369,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000001e-03,1.4999999999999999e-01,1.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
185,0,"ΣΑΡΔΕΛΛΑ",396,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4999999999999999e-01,2.0000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
186,0,"ΣΟΛΟΜΟΣ",263,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0850000000000000e-01,1.9899999999999998e-01,1.0500000000000001e-02,0.0000000000000000e+00,12,3.60000014e-01,28,233,362,59,4.00000006e-01,4.89999987e-02,1.49999997e-02,2.18000002e-02,3.86999995e-02,3.92999984e-02,59,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
187,0,"ΣΟΥΠΙΕΣ",404,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.6000000000000000e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
188,0,"ΤΟΝΟΣ",270,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9000000000000002e-02,2.3329999999999998e-01,1.1800000000000000e-02,0.0000000000000000e+00,8,1.01999998e+00,50,254,252,39,6.00000024e-01,8.60000029e-02,1.49999997e-02,1.26000000e-02,1.60000008e-02,1.42999999e-02,38,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
190,0,"ΧΤΑΠΟΔΙ",428,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7000000000000001e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
191,0,"ΑΣΤΑΚΟΣ",311,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e-02,1.4999999999999999e-01,2.5000000000000001e-02,0.0000000000000000e+00,48,3.00000012e-01,27,144,275,296,3.01999998e+00,1.66299999e+00,5.49999997e-02,1.80000007e-01,2.59999990e-01,1.50000006e-01,95,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
192,0,"ΒΑΚΑΛΑΟΣ",313,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7000000000000001e-01,1.4999999999999999e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
193,0,"ΓΑΡΙΔΕΣ",315,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7999999999999999e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
194,0,"ΓΑΡΙΔΕΣ ΚΑΤΕΨΥΓΜΕΝΕΣ",315,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7999999999999999e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
195,0,"ΓΛΩΣΣΑ",318,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7000000000000001e-01,1.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
196,0,"ΚΑΒΟΥΡΟΨΥΧΑ",325,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,1.7999999999999999e-01,2.0000000000000000e-02,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
197,0,"ΑΥΓΑ",53,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3300000000000001e-01,1.3300000000000001e-01,5.0000000000000001e-03,0.0000000000000000e+00,73,1.98000002e+00,15,72,213,199,9.80000019e-01,2.19999999e-02,6.00000005e-03,1.93000007e-02,2.43999995e-02,6.23999983e-02,2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
198,0,"ΑΥΓΟΥ ΑΛΒΟΥΜΙΝΗ",56,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2000000000000004e-01,5.0000000000000001e-03,0.0000000000000000e+00,62,1.50000006e-01,88,111,1125,1280,1.00000001e-01,1.14000000e-01,7.00000022e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
199,0,"ΑΥΓΟΥ ΑΣΠΡΑΔΙ",56,"Α_ΥΛΗ",7.8000000000000000e-02,7.8000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1099999999999994e-01,5.2999999999999999e-02,0.0000000000000000e+00,62,1.50000006e-01,88,111,1125,1280,1.00000001e-01,1.14000000e-01,7.00000022e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
202,0,"ΦΙΛΕ ΑΜΥΓΔΑΛΟΥ",26,"Α_ΥΛΗ",2.2000000000000000e-01,2.0000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.2000000000000002e-01,1.9000000000000000e-01,5.0000000000000001e-03,2.0000000000000000e-02,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
204,0,"ΦΥΣΤΙΚΙΑ ΑΙΓΙΝΗΣ",27,"Α_ΥΛΗ",2.3000000000000001e-01,2.0999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6000000000000002e-01,2.3999999999999999e-01,5.0000000000000001e-03,2.0000000000000000e-02,89,2.54999995e+00,171,380,690,10,4.42999983e+00,1.11199999e+00,1.69599998e+00,6.36000037e-02,2.52900004e-01,1.47100002e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
205,0,"ΑΜΥΓΔΑΛΑ",26,"Α_ΥΛΗ",1.9739999999999999e-01,7.9400000000000012e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0639999999999996e-01,2.1260000000000001e-01,3.1099999999999999e-02,1.1800000000000001e-01,248,4.30000019e+00,275,474,728,1,3.35999990e+00,1.11000001e+00,2.53500009e+00,3.88000011e-02,3.21599990e-01,1.22100003e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
207,0,"ΚΑΡΥΔΙΑ",25,"Α_ΥΛΗ",1.3710000000000000e-01,7.0099999999999996e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5209999999999990e-01,1.5230000000000002e-01,1.7800000000000000e-02,6.7000000000000004e-02,98,2.91000009e+00,158,346,441,2,3.08999991e+00,1.58599997e+00,3.41400003e+00,6.12999983e-02,8.92999992e-02,4.71700013e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
208,0,"ΗΛΙΟΣΠΟΡΟΣ",35,"Α_ΥΛΗ",2.6600000000000001e-01,2.6600000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,1.8800000000000000e-01,1.0000000000000000e-03,0.0000000000000000e+00,110,4.09999990e+00,930,2513,532,10,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.50000018e-02,1.65000007e-01,2.89999992e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
209,0,"ΣΤΑΦΙΔΑ ΣΟΥΛΤΑΝΙΝΑ",408,"Α_ΥΛΗ",4.5000000000000001e-01,4.0000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,5.0000000000000003e-02,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
212,0,"ΜΑΡΓΑΡΙΝΗ ΣΚΛΗΡΗ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
213,0,"ΜΑΡΓΑΡΙΝΟΒΟΥΤΥΡΟ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
216,0,"ΦΥΤΙΚΑ ΛΙΠΗ ΣΚΟΝΗ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
217,0,"ΑΡΑΒΟΣΙΤΕΛΑΙΟ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.00000000e+00,0,0,0,0,0.00000000e+00,0.00000000e+00,,1.29500002e-01,2.75799990e-01,5.46800017e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
218,0,"ΒΑΜΒΑΚΕΛΑΙΟ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
219,0,"ΒΟΥΤΥΡΟ ΓΑΛΑΚΤΟΣ 99%",23,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9800000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0.00000000e+00,0,0,0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00,,,,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9800000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
220,0,"ΕΛΑΙΟΛΑΔΟ",197,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,6.60000026e-01,0,0,1,3,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.34499997e-01,7.39000022e-01,1.00000001e-01,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
221,0,"ΗΛΙΕΛΑΙΟ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
224,0,"ΒΟΥΤΥΡΟ ΓΑΛΑΚΤΟΣ",23,"Α_ΥΛΗ",1.0000000000000000e-02,1.0000000000000000e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2000000000000006e-01,8.0000000000000002e-03,2.0000000000000000e-03,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
225,0,"ΜΑΡΓΑΡΙΝΗ ΦΥΤ.ΚΡΕΜΑ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2000000000000006e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
229,0,"ΝΕΑ ΦΥΤΙΝΗ",22,"Α_ΥΛΗ",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
231,0,"ΚΡΑΣΙ",340,"Α_ΥΛΗ",1.1000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
232,0,"ΜΠΡΑΝΤΥ",370,"Α_ΥΛΗ",4.0000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
233,0,"ΡΟΥΜΙ",394,"Α_ΥΛΗ",4.0000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
235,0,"ΜΑΡΜΕΛΑΔΑ",72,"Α_ΥΛΗ",6.7000000000000004e-01,6.6000000000000003e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,38,1.50000006e-01,2,4,37,56,3.99999991e-02,9.00000036e-02,1.99999996e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
244,0,"ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ",399,"Α_ΥΛΗ",7.5000000000000000e-01,7.5000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
245,0,"ΣΥΚΟ ΤΑΡΤΑΣ ΟΛΟΚΛΗΡΟ",33,"Α_ΥΛΗ",7.5000000000000000e-01,7.0000000000000007e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,5.0000000000000001e-03,5.0000000000000003e-02,,,,,,,,,,,,,,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
