IDStoreControl,IDMarketer,Date,NoApod,Incam
8038,890,"06/24/08 00:00:00",256,592.9000
8039,890,"06/25/08 00:00:00",278,635.3000
8040,880,"06/24/08 00:00:00",531,1212.8300
8041,880,"06/25/08 00:00:00",520,1248.0900
8042,879,"06/25/08 00:00:00",416,1225.0500
8044,890,"06/26/08 00:00:00",283,634.7000
8045,924,"06/26/08 00:00:00",438,953.5400
8046,880,"06/26/08 00:00:00",529,1283.1200
8047,912,"06/27/08 00:00:00",,118.7000
8048,883,"06/27/08 00:00:00",,84.6000
8049,913,"06/27/08 00:00:00",,230.1000
8050,914,"06/27/08 00:00:00",,85.5000
8051,886,"06/27/08 00:00:00",,93.1000
8052,906,"06/27/08 00:00:00",,49.7000
8053,905,"06/27/08 00:00:00",,50.5000
8054,879,"06/26/08 00:00:00",379,1301.2000
8055,879,"06/27/08 00:00:00",375,1326.5000
8056,880,"06/27/08 00:00:00",586,1475.9200
8057,924,"06/27/08 00:00:00",408,959.8000
8058,890,"06/27/08 00:00:00",312,765.9000
8059,890,"06/28/08 00:00:00",390,1094.3500
8060,924,"06/28/08 00:00:00",452,1199.6600
8061,879,"06/28/08 00:00:00",524,1849.9500
8062,880,"06/28/08 00:00:00",740,2309.8000
8063,912,"06/28/08 00:00:00",,186.9900
8064,883,"06/28/08 00:00:00",,143.7000
8065,913,"06/28/08 00:00:00",,423.0000
8066,914,"06/28/08 00:00:00",,217.9000
8067,886,"06/28/08 00:00:00",,135.2000
8068,906,"06/28/08 00:00:00",,79.4000
8069,905,"06/28/08 00:00:00",,88.5000
8070,883,"06/30/08 00:00:00",,84.6000
8071,913,"06/30/08 00:00:00",,230.0000
8072,914,"06/30/08 00:00:00",,85.3000
8073,886,"06/30/08 00:00:00",,60.3000
8074,906,"06/30/08 00:00:00",,36.5000
8075,905,"06/30/08 00:00:00",,50.0000
8076,912,"06/30/08 00:00:00",,94.0000
8077,883,"07/01/08 00:00:00",,84.6000
8078,913,"07/01/08 00:00:00",,230.0000
8079,914,"07/01/08 00:00:00",,85.3000
8080,886,"07/01/08 00:00:00",,51.4000
8081,906,"07/01/08 00:00:00",,37.6000
8082,905,"07/01/08 00:00:00",,63.9000
8083,912,"07/01/08 00:00:00",,75.8500
8084,879,"06/30/08 00:00:00",378,1241.5000
8085,924,"06/30/08 00:00:00",404,967.3000
8086,883,"07/02/08 00:00:00",,90.4000
8087,913,"07/02/08 00:00:00",,230.0000
8088,914,"07/02/08 00:00:00",,85.3000
8089,886,"07/02/08 00:00:00",,55.5000
8090,906,"07/02/08 00:00:00",,40.6000
8091,905,"07/02/08 00:00:00",,57.5000
8092,912,"07/02/08 00:00:00",,95.7000
8093,924,"07/01/08 00:00:00",403,935.3400
8094,890,"07/01/08 00:00:00",266,612.0500
8095,880,"06/30/08 00:00:00",542,1254.9700
8096,879,"07/01/08 00:00:00",398,1246.5000
8097,883,"07/03/08 00:00:00",,90.4000
8098,913,"07/03/08 00:00:00",,244.0000
8099,914,"07/03/08 00:00:00",,85.3000
8100,886,"07/03/08 00:00:00",,57.9000
8101,906,"07/03/08 00:00:00",,40.6000
8102,905,"07/03/08 00:00:00",,74.8000
8103,880,"07/01/08 00:00:00",499,1290.6000
8104,924,"07/02/08 00:00:00",435,951.2000
8105,879,"07/02/08 00:00:00",418,1263.8500
8106,890,"07/02/08 00:00:00",287,684.0000
8107,912,"07/03/08 00:00:00",,87.2500
8108,883,"07/04/08 00:00:00",,90.4000
8109,913,"07/04/08 00:00:00",,221.3000
8110,914,"07/04/08 00:00:00",,83.5000
8111,886,"07/04/08 00:00:00",,52.6000
8112,906,"07/04/08 00:00:00",,43.2000
8113,905,"07/04/08 00:00:00",,59.3000
8114,912,"07/04/08 00:00:00",,70.3000
8115,880,"07/02/08 00:00:00",567,1327.8800
8116,879,"07/03/08 00:00:00",423,1247.4000
8117,890,"07/03/08 00:00:00",284,613.6500
8118,924,"07/03/08 00:00:00",428,1011.6100
8119,883,"07/05/08 00:00:00",,141.3000
8120,913,"07/05/08 00:00:00",,423.6000
8121,914,"07/05/08 00:00:00",,223.7000
8122,886,"07/05/08 00:00:00",,98.9000
8123,906,"07/05/08 00:00:00",,81.3000
8124,905,"07/05/08 00:00:00",,93.9000
8125,883,"07/07/08 00:00:00",,89.2000
8126,913,"07/07/08 00:00:00",,227.9000
8127,914,"07/07/08 00:00:00",,90.8000
8128,886,"07/07/08 00:00:00",,77.2000
8129,906,"07/07/08 00:00:00",,40.6000
8130,905,"07/07/08 00:00:00",,53.6000
8131,912,"07/05/08 00:00:00",,310.3000
8132,912,"07/07/08 00:00:00",,73.8500
8133,880,"07/03/08 00:00:00",533,1254.9900
8134,924,"07/04/08 00:00:00",447,1032.4000
8135,890,"07/04/08 00:00:00",290,650.7000
8136,880,"07/04/08 00:00:00",588,1565.3100
8137,879,"07/04/08 00:00:00",393,1273.8000
8138,890,"07/05/08 00:00:00",388,1076.1500
8139,924,"07/05/08 00:00:00",405,1193.9500
8140,880,"07/05/08 00:00:00",689,2435.6500
8141,879,"07/05/08 00:00:00",506,1969.0000
8142,890,"07/07/08 00:00:00",321,709.8000
8143,879,"07/07/08 00:00:00",373,1300.0000
8144,924,"07/07/08 00:00:00",429,1040.7000
8145,883,"07/08/08 00:00:00",,90.4000
8146,913,"07/08/08 00:00:00",,247.1000
8147,914,"07/08/08 00:00:00",,90.8000
8148,886,"07/08/08 00:00:00",,77.2000
8149,906,"07/08/08 00:00:00",,51.0000
8150,905,"07/08/08 00:00:00",,67.5000
8151,880,"07/07/08 00:00:00",575,1402.1200
8152,879,"07/08/08 00:00:00",434,1313.5000
8153,890,"07/08/08 00:00:00",283,676.6000
8154,924,"07/08/08 00:00:00",397,957.2500
8155,883,"07/09/08 00:00:00",,95.8000
8156,913,"07/09/08 00:00:00",,247.1000
8157,914,"07/09/08 00:00:00",,90.8000
8158,886,"07/09/08 00:00:00",,65.6000
8159,906,"07/09/08 00:00:00",,48.3000
8160,905,"07/09/08 00:00:00",,54.9000
8161,912,"07/08/08 00:00:00",,51.8000
8162,912,"07/09/08 00:00:00",,58.3000
8163,883,"07/10/08 00:00:00",,90.3000
8164,913,"07/10/08 00:00:00",,247.1000
8165,914,"07/10/08 00:00:00",,97.2000
8166,886,"07/10/08 00:00:00",,78.7000
8167,906,"07/10/08 00:00:00",,44.8000
8168,905,"07/10/08 00:00:00",,77.4000
8169,883,"07/11/08 00:00:00",,90.3000
8170,913,"07/11/08 00:00:00",,247.1000
8171,914,"07/11/08 00:00:00",,90.8000
8172,886,"07/11/08 00:00:00",,88.6000
8173,906,"07/11/08 00:00:00",,46.3000
8174,905,"07/11/08 00:00:00",,62.2000
8175,912,"07/10/08 00:00:00",,57.5000
8176,912,"07/11/08 00:00:00",,54.4000
8177,880,"07/08/08 00:00:00",540,1231.2600
8178,879,"07/09/08 00:00:00",434,1300.0000
8179,880,"07/09/08 00:00:00",512,1225.1300
8180,924,"07/09/08 00:00:00",414,924.3000
8181,890,"07/09/08 00:00:00",305,696.0000
8182,879,"07/10/08 00:00:00",414,1310.0000
8183,880,"07/10/08 00:00:00",568,1335.0300
8184,890,"07/10/08 00:00:00",311,684.6000
8185,924,"07/10/08 00:00:00",399,862.5000
8186,879,"07/11/08 00:00:00",432,1390.0000
8187,880,"07/11/08 00:00:00",604,1448.6800
8188,924,"07/11/08 00:00:00",453,991.0500
8189,890,"07/11/08 00:00:00",305,708.0000
8190,879,"07/12/08 00:00:00",489,1854.3000
8191,880,"07/12/08 00:00:00",721,2337.0500
8192,890,"07/12/08 00:00:00",404,1093.3000
8193,924,"07/12/08 00:00:00",425,1213.5500
8194,883,"07/12/08 00:00:00",,140.8000
8195,913,"07/12/08 00:00:00",,471.5000
8196,914,"07/12/08 00:00:00",,228.8000
8197,886,"07/12/08 00:00:00",,124.0000
8198,906,"07/12/08 00:00:00",,76.9000
8199,905,"07/12/08 00:00:00",,89.6000
8200,883,"07/14/08 00:00:00",,90.4000
8201,913,"07/14/08 00:00:00",,237.5000
8202,914,"07/14/08 00:00:00",,90.8000
8203,886,"07/14/08 00:00:00",,92.5000
8204,906,"07/14/08 00:00:00",,47.0000
8205,905,"07/14/08 00:00:00",,53.9000
8206,912,"07/12/08 00:00:00",,92.2000
8207,912,"07/14/08 00:00:00",,154.5000
8208,883,"07/15/08 00:00:00",,90.4000
8209,913,"07/15/08 00:00:00",,261.0000
8210,914,"07/15/08 00:00:00",,90.8000
8211,886,"07/15/08 00:00:00",,70.3000
8212,906,"07/15/08 00:00:00",,43.6000
8213,905,"07/15/08 00:00:00",,62.4000
8214,924,"07/14/08 00:00:00",454,999.2000
8215,890,"07/14/08 00:00:00",312,699.9500
8216,879,"07/14/08 00:00:00",382,1305.0000
8217,880,"07/14/08 00:00:00",547,1364.1800
8218,883,"07/16/08 00:00:00",,90.4000
8219,913,"07/16/08 00:00:00",,256.5000
8220,914,"07/16/08 00:00:00",,90.8000
8221,886,"07/16/08 00:00:00",,73.2000
8222,906,"07/16/08 00:00:00",,52.7000
8223,905,"07/16/08 00:00:00",,67.4000
8224,912,"07/15/08 00:00:00",,66.7500
8225,912,"07/16/08 00:00:00",,113.6000
8226,879,"07/15/08 00:00:00",383,1291.3000
8227,890,"07/15/08 00:00:00",304,653.1500
8228,924,"07/15/08 00:00:00",435,962.9500
8230,880,"07/15/08 00:00:00",541,1313.1000
8231,880,"07/16/08 00:00:00",559,1381.2300
8232,890,"07/16/08 00:00:00",331,753.9000
8233,924,"07/16/08 00:00:00",433,982.2000
8234,879,"07/16/08 00:00:00",433,1342.6000
8235,883,"07/17/08 00:00:00",,90.4000
8236,913,"07/17/08 00:00:00",,256.6000
8237,914,"07/17/08 00:00:00",,94.9000
8238,886,"07/17/08 00:00:00",,73.2000
8239,906,"07/17/08 00:00:00",,44.3000
8240,905,"07/17/08 00:00:00",,67.8000
8241,912,"07/17/08 00:00:00",,123.2000
8242,890,"07/17/08 00:00:00",351,807.9000
8243,880,"07/17/08 00:00:00",550,1309.0500
8244,924,"07/17/08 00:00:00",450,1005.6300
8245,879,"07/17/08 00:00:00",413,1269.3000
8246,883,"07/18/08 00:00:00",,90.4000
8247,913,"07/18/08 00:00:00",,258.8000
8248,914,"07/18/08 00:00:00",,89.0000
8249,886,"07/18/08 00:00:00",,71.4000
8250,906,"07/18/08 00:00:00",,44.3000
8251,905,"07/18/08 00:00:00",,58.9000
8252,912,"07/18/08 00:00:00",,100.4500
8253,879,"07/19/08 00:00:00",523,1882.0000
8254,924,"07/19/08 00:00:00",444,1122.3000
8255,890,"07/19/08 00:00:00",411,1161.5000
8256,924,"07/18/08 00:00:00",447,1082.7500
8257,880,"07/18/08 00:00:00",573,1509.2800
8258,890,"07/18/08 00:00:00",327,835.6000
8259,879,"07/18/08 00:00:00",388,1376.2500
8260,883,"07/19/08 00:00:00",,139.2000
8261,913,"07/19/08 00:00:00",,475.7000
8262,914,"07/19/08 00:00:00",,227.3000
8263,886,"07/19/08 00:00:00",,125.4000
8264,906,"07/19/08 00:00:00",,85.8000
8265,905,"07/19/08 00:00:00",,102.8000
8266,883,"07/21/08 00:00:00",,90.4000
8267,913,"07/21/08 00:00:00",,258.8000
8268,914,"07/21/08 00:00:00",,94.8000
8269,886,"07/21/08 00:00:00",,85.0000
8270,906,"07/21/08 00:00:00",,44.3000
8271,905,"07/21/08 00:00:00",,52.0000
8272,912,"07/19/08 00:00:00",,174.6000
8273,912,"07/21/08 00:00:00",,130.9000
8274,880,"07/19/08 00:00:00",742,2352.0000
8275,924,"07/21/08 00:00:00",434,1037.8400
8276,879,"07/21/08 00:00:00",392,1198.4500
8277,880,"07/21/08 00:00:00",518,1282.1500
8278,890,"07/21/08 00:00:00",306,648.1000
8279,883,"07/22/08 00:00:00",,89.2000
8280,913,"07/22/08 00:00:00",,253.5000
8281,914,"07/22/08 00:00:00",,94.8000
8282,886,"07/22/08 00:00:00",,87.8000
8283,906,"07/22/08 00:00:00",,53.0000
8284,905,"07/22/08 00:00:00",,57.0000
8285,883,"07/23/08 00:00:00",,89.2000
8286,913,"07/23/08 00:00:00",,253.5000
8287,914,"07/23/08 00:00:00",,94.8000
8288,886,"07/23/08 00:00:00",,87.8000
8289,906,"07/23/08 00:00:00",,44.3000
8290,905,"07/23/08 00:00:00",,53.2000
8291,912,"07/22/08 00:00:00",,117.3400
8292,879,"07/22/08 00:00:00",437,1320.2000
8293,924,"07/22/08 00:00:00",444,1092.6400
8294,890,"07/22/08 00:00:00",292,703.1000
8295,912,"07/23/08 00:00:00",,92.2000
8296,924,"07/23/08 00:00:00",458,1048.9000
8297,880,"07/23/08 00:00:00",587,1479.3900
8298,880,"07/22/08 00:00:00",545,1398.3000
8299,879,"07/23/08 00:00:00",489,1370.5000
8300,890,"07/23/08 00:00:00",317,718.2500
8301,883,"07/24/08 00:00:00",,89.2000
8302,913,"07/24/08 00:00:00",,253.5000
8303,914,"07/24/08 00:00:00",,94.8000
8304,886,"07/24/08 00:00:00",,93.7500
8305,906,"07/24/08 00:00:00",,47.3000
8306,905,"07/24/08 00:00:00",,58.8000
8307,912,"07/24/08 00:00:00",,106.7800
8308,924,"07/24/08 00:00:00",443,970.8000
8309,890,"07/24/08 00:00:00",334,760.6000
8310,879,"07/24/08 00:00:00",480,1412.7000
8311,912,"07/25/08 00:00:00",,148.7000
8312,883,"07/25/08 00:00:00",,89.2000
8313,913,"07/25/08 00:00:00",,278.9000
8314,914,"07/25/08 00:00:00",,105.7000
8315,886,"07/25/08 00:00:00",,93.7500
8316,906,"07/25/08 00:00:00",,46.1500
8317,905,"07/25/08 00:00:00",,65.2000
8318,883,"07/26/08 00:00:00",,136.8000
8319,913,"07/26/08 00:00:00",,473.5000
8320,914,"07/26/08 00:00:00",,239.0000
8321,886,"07/26/08 00:00:00",,125.4000
8322,906,"07/26/08 00:00:00",,91.4000
8323,905,"07/26/08 00:00:00",,88.4000
8324,880,"07/24/08 00:00:00",573,1430.2700
8325,879,"07/25/08 00:00:00",485,1460.4000
8326,880,"07/25/08 00:00:00",545,1416.1700
8327,890,"07/25/08 00:00:00",310,724.0500
8328,924,"07/25/08 00:00:00",472,1195.4100
8329,879,"07/26/08 00:00:00",568,1965.9500
8330,890,"07/26/08 00:00:00",409,1148.2000
8331,924,"07/26/08 00:00:00",427,1220.9000
8332,883,"07/28/08 00:00:00",,88.0000
8333,913,"07/28/08 00:00:00",,267.7000
8334,914,"07/28/08 00:00:00",,98.0000
8335,886,"07/28/08 00:00:00",,87.8000
8336,906,"07/28/08 00:00:00",,45.4000
8337,905,"07/28/08 00:00:00",,58.3000
8338,880,"07/26/08 00:00:00",741,2288.5000
8339,879,"07/28/08 00:00:00",474,1429.2500
8340,890,"07/28/08 00:00:00",335,759.6000
8341,924,"07/28/08 00:00:00",438,1012.0000
8342,883,"07/29/08 00:00:00",,97.0000
8343,913,"07/29/08 00:00:00",,266.4000
8344,886,"07/29/08 00:00:00",,74.3000
8345,906,"07/29/08 00:00:00",,45.4000
8346,905,"07/29/08 00:00:00",,60.4000
8347,880,"07/28/08 00:00:00",598,1483.1900
8348,880,"07/29/08 00:00:00",533,1302.1800
8349,890,"07/29/08 00:00:00",313,742.6000
8350,924,"07/29/08 00:00:00",437,989.3900
8351,879,"07/29/08 00:00:00",443,1639.0500
8352,883,"07/30/08 00:00:00",,97.0000
8353,913,"07/30/08 00:00:00",,260.4000
8354,914,"07/30/08 00:00:00",,89.2000
8355,886,"07/30/08 00:00:00",,81.4000
8356,906,"07/30/08 00:00:00",,44.3000
8357,905,"07/30/08 00:00:00",,58.0000
8358,879,"07/30/08 00:00:00",,1369.2000
8359,880,"07/30/08 00:00:00",557,1418.6200
8360,890,"07/30/08 00:00:00",312,682.8000
8361,924,"07/30/08 00:00:00",446,1079.0000
8362,883,"07/31/08 00:00:00",,92.4000
8363,913,"07/31/08 00:00:00",,256.0000
8364,914,"07/31/08 00:00:00",,95.7000
8365,886,"07/31/08 00:00:00",,81.4000
8366,906,"07/31/08 00:00:00",,43.6000
8367,905,"07/31/08 00:00:00",,83.6000
8368,912,"07/26/08 00:00:00",,173.8200
8369,912,"07/28/08 00:00:00",,66.4500
8370,912,"07/29/08 00:00:00",,92.8000
8371,912,"07/30/08 00:00:00",,101.2500
8372,912,"07/31/08 00:00:00",,83.2500
8373,879,"07/31/08 00:00:00",425,1416.0000
8374,890,"07/31/08 00:00:00",340,735.6000
8375,924,"07/31/08 00:00:00",445,1013.9000
8376,880,"07/31/08 00:00:00",537,1368.3100
8377,912,"08/01/08 00:00:00",,121.8500
8378,883,"08/01/08 00:00:00",,86.0000
8379,913,"08/01/08 00:00:00",,260.8000
8380,914,"08/01/08 00:00:00",,105.9000
8381,886,"08/01/08 00:00:00",,81.4000
8382,906,"08/01/08 00:00:00",,43.6000
8383,905,"08/01/08 00:00:00",,55.3000
8384,879,"08/01/08 00:00:00",479,1429.6500
8385,880,"08/01/08 00:00:00",429,1540.3000
8386,890,"08/01/08 00:00:00",312,743.2000
8387,924,"08/01/08 00:00:00",480,1159.1500
8388,879,"08/02/08 00:00:00",559,1983.4000
8389,880,"08/02/08 00:00:00",702,2419.6000
8390,890,"08/02/08 00:00:00",400,1235.4000
8391,924,"08/02/08 00:00:00",442,1348.9100
8392,912,"08/02/08 00:00:00",,225.8000
8393,912,"08/04/08 00:00:00",,139.0500
8394,883,"08/02/08 00:00:00",,136.8000
8395,883,"08/04/08 00:00:00",,88.0000
8396,913,"08/02/08 00:00:00",,479.0000
8397,913,"08/04/08 00:00:00",,271.8000
8398,914,"08/02/08 00:00:00",,243.4000
8399,914,"08/04/08 00:00:00",,109.1000
8400,886,"08/02/08 00:00:00",,128.3000
8401,886,"08/04/08 00:00:00",,84.1000
8402,906,"08/02/08 00:00:00",,76.3000
8403,906,"08/04/08 00:00:00",,43.6000
8404,905,"08/02/08 00:00:00",,93.9000
8405,905,"08/04/08 00:00:00",,54.6000
8406,879,"08/04/08 00:00:00",598,1283.6500
8407,880,"08/04/08 00:00:00",545,1457.3300
8408,890,"08/04/08 00:00:00",335,750.9000
8409,924,"08/04/08 00:00:00",429,1047.8500
8410,912,"08/05/08 00:00:00",,143.5500
8411,883,"08/05/08 00:00:00",,103.8000
8412,913,"08/05/08 00:00:00",,271.8000
8413,914,"08/05/08 00:00:00",,109.1000
8414,886,"08/05/08 00:00:00",,84.1000
8415,906,"08/05/08 00:00:00",,43.6000
8416,905,"08/05/08 00:00:00",,64.6000
8417,880,"08/05/08 00:00:00",549,1408.6400
8418,924,"08/05/08 00:00:00",448,1082.8000
8419,879,"08/05/08 00:00:00",608,1369.8500
8420,890,"08/05/08 00:00:00",315,779.1000
8421,883,"08/06/08 00:00:00",,103.8000
8422,913,"08/06/08 00:00:00",,271.0000
8423,914,"08/06/08 00:00:00",,109.0000
8424,886,"08/06/08 00:00:00",,82.0000
8425,906,"08/06/08 00:00:00",,51.0000
8426,905,"08/06/08 00:00:00",,60.3000
8427,912,"08/06/08 00:00:00",,140.9500
8428,879,"08/06/08 00:00:00",550,1314.0000
8429,880,"08/06/08 00:00:00",532,1392.0000
8430,890,"08/06/08 00:00:00",315,764.6000
8431,924,"08/06/08 00:00:00",418,1027.0600
8432,883,"08/07/08 00:00:00",,97.5000
8433,913,"08/07/08 00:00:00",,271.0000
8434,914,"08/07/08 00:00:00",,109.0000
8435,886,"08/07/08 00:00:00",,82.0000
8436,906,"08/07/08 00:00:00",,44.8000
8437,905,"08/07/08 00:00:00",,79.6000
8438,912,"08/07/08 00:00:00",,139.5000
8439,883,"08/08/08 00:00:00",,84.7000
8440,913,"08/08/08 00:00:00",,278.6000
8441,914,"08/08/08 00:00:00",,111.2000
8442,886,"08/08/08 00:00:00",,80.9000
8443,906,"08/08/08 00:00:00",,42.4000
8444,905,"08/08/08 00:00:00",,57.3000
8445,879,"08/07/08 00:00:00",583,1331.7500
8446,924,"08/07/08 00:00:00",371,1148.6000
8447,890,"08/07/08 00:00:00",318,803.1500
8448,912,"08/08/08 00:00:00",,138.4400
8449,883,"08/09/08 00:00:00",,137.0000
8450,883,"08/11/08 00:00:00",,89.9000
8451,913,"08/09/08 00:00:00",,480.0000
8452,913,"08/11/08 00:00:00",,275.9000
8453,914,"08/09/08 00:00:00",,266.0000
8454,914,"08/11/08 00:00:00",,72.8000
8455,886,"08/09/08 00:00:00",,127.5000
8456,886,"08/11/08 00:00:00",,80.9000
8457,906,"08/09/08 00:00:00",,83.4000
8458,906,"08/11/08 00:00:00",,42.3000
8459,905,"08/09/08 00:00:00",,108.0000
8460,905,"08/11/08 00:00:00",,59.0000
8461,912,"08/09/08 00:00:00",,241.1000
8462,912,"08/11/08 00:00:00",,119.4800
8463,880,"08/07/08 00:00:00",508,1368.4900
8464,924,"08/08/08 00:00:00",79,1024.7700
8465,890,"08/08/08 00:00:00",347,803.4000
8466,879,"08/08/08 00:00:00",592,1381.9800
8467,880,"08/08/08 00:00:00",554,1532.4400
8468,924,"08/09/08 00:00:00",386,1156.2500
8469,879,"08/09/08 00:00:00",690,1916.0000
8470,890,"08/09/08 00:00:00",372,1163.6000
8471,880,"08/09/08 00:00:00",667,2305.5000
8472,890,"08/11/08 00:00:00",331,753.6500
8473,880,"08/11/08 00:00:00",549,1404.4900
8474,924,"08/11/08 00:00:00",,1164.2200
8475,879,"08/11/08 00:00:00",629,1462.7000
8476,883,"08/12/08 00:00:00",,89.9000
8477,913,"08/12/08 00:00:00",,271.9000
8478,914,"08/12/08 00:00:00",,95.4000
8479,886,"08/12/08 00:00:00",,85.0000
8480,906,"08/12/08 00:00:00",,42.3000
8481,905,"08/12/08 00:00:00",,63.3000
8482,912,"08/12/08 00:00:00",,106.0000
8483,883,"08/13/08 00:00:00",,91.4000
8484,913,"08/13/08 00:00:00",,271.9000
8485,914,"08/13/08 00:00:00",,108.3000
8486,886,"08/13/08 00:00:00",,91.0000
8487,906,"08/13/08 00:00:00",,51.0000
8488,905,"08/13/08 00:00:00",,75.7000
8489,912,"08/13/08 00:00:00",,70.8100
8490,890,"08/12/08 00:00:00",316,800.5000
8491,883,"08/14/08 00:00:00",,143.0000
8492,913,"08/14/08 00:00:00",,502.0000
8493,914,"08/14/08 00:00:00",,254.5000
8494,886,"08/14/08 00:00:00",,128.3000
8495,906,"08/14/08 00:00:00",,97.9000
8496,905,"08/14/08 00:00:00",,138.8000
8497,912,"08/14/08 00:00:00",,292.2000
8498,890,"08/13/08 00:00:00",305,758.3000
8499,924,"08/13/08 00:00:00",176,1053.7000
8500,880,"08/13/08 00:00:00",560,1533.8500
8501,879,"08/13/08 00:00:00",610,1388.5000
8502,924,"08/12/08 00:00:00",53,986.1000
8503,879,"08/12/08 00:00:00",618,1485.0000
8504,880,"08/12/08 00:00:00",,1422.7600
8507,890,"08/14/08 00:00:00",391,1238.5000
8508,879,"08/14/08 00:00:00",727,2025.4000
8509,883,"08/16/08 00:00:00",,107.0000
8510,883,"08/18/08 00:00:00",,83.5000
8511,913,"08/16/08 00:00:00",,374.0000
8512,913,"08/18/08 00:00:00",,271.9000
8513,914,"08/16/08 00:00:00",,217.0000
8514,914,"08/18/08 00:00:00",,72.4000
8515,886,"08/16/08 00:00:00",,104.0000
8516,886,"08/18/08 00:00:00",,93.4000
8517,906,"08/16/08 00:00:00",,51.2000
8518,906,"08/18/08 00:00:00",,51.0000
8519,905,"08/16/08 00:00:00",,69.6000
8520,905,"08/18/08 00:00:00",,57.9000
8521,912,"08/16/08 00:00:00",,177.3200
8522,912,"08/18/08 00:00:00",,102.0500
8523,924,"08/18/08 00:00:00",188,1010.2000
8524,879,"08/18/08 00:00:00",500,1257.0000
8525,890,"08/18/08 00:00:00",328,736.5000
8526,880,"08/18/08 00:00:00",566,1439.6500
8527,883,"08/19/08 00:00:00",,85.6000
8528,883,"08/20/08 00:00:00",,88.6000
8531,913,"08/19/08 00:00:00",,282.0000
8532,914,"08/19/08 00:00:00",,78.7000
8533,886,"08/19/08 00:00:00",,93.4000
8534,906,"08/19/08 00:00:00",,41.0000
8535,905,"08/19/08 00:00:00",,67.0000
8536,880,"08/14/08 00:00:00",651,2267.8500
8537,880,"08/16/08 00:00:00",615,1967.5900
8538,890,"08/16/08 00:00:00",347,945.7000
8539,912,"08/19/08 00:00:00",,77.5500
8540,879,"08/16/08 00:00:00",602,1505.0000
8541,890,"08/19/08 00:00:00",338,768.1500
8542,879,"08/19/08 00:00:00",449,1317.4000
8543,880,"08/19/08 00:00:00",545,1389.7600
8544,912,"08/20/08 00:00:00",,98.4000
8545,913,"08/20/08 00:00:00",,282.0000
8546,914,"08/20/08 00:00:00",,78.8000
8547,886,"08/20/08 00:00:00",,93.4000
8548,906,"08/20/08 00:00:00",,43.4000
8549,905,"08/20/08 00:00:00",,57.5000
8550,880,"08/20/08 00:00:00",524,1331.3000
8551,879,"08/20/08 00:00:00",428,1335.8000
8552,890,"08/20/08 00:00:00",346,815.4000
8553,912,"08/21/08 00:00:00",,105.2500
8554,890,"08/21/08 00:00:00",302,720.9000
8555,879,"08/21/08 00:00:00",420,1312.6000
8556,879,"08/22/08 00:00:00",448,1463.0000
8557,924,"08/22/08 00:00:00",428,1205.9100
8558,912,"08/22/08 00:00:00",,128.5000
8559,880,"08/22/08 00:00:00",610,1603.5000
8560,890,"08/22/08 00:00:00",342,790.6000
8561,890,"08/23/08 00:00:00",396,1141.5000
8562,912,"08/23/08 00:00:00",,172.9000
8563,880,"08/23/08 00:00:00",744,2361.2000
8564,880,"08/21/08 00:00:00",547,1404.2000
8565,879,"08/23/08 00:00:00",546,2017.6500
8566,924,"08/23/08 00:00:00",437,1373.0000
8567,883,"08/21/08 00:00:00",,88.6000
8568,883,"08/22/08 00:00:00",,88.6000
8569,883,"08/23/08 00:00:00",,137.0000
8570,913,"08/21/08 00:00:00",,282.0000
8571,913,"08/22/08 00:00:00",,250.0000
8572,913,"08/23/08 00:00:00",,495.0000
8573,914,"08/21/08 00:00:00",,78.8000
8574,914,"08/22/08 00:00:00",,78.8000
8575,914,"08/23/08 00:00:00",,218.0000
8576,886,"08/21/08 00:00:00",,93.4000
8577,886,"08/22/08 00:00:00",,93.4000
8578,886,"08/23/08 00:00:00",,132.0000
8579,906,"08/21/08 00:00:00",,40.6000
8580,906,"08/22/08 00:00:00",,40.6000
8581,906,"08/23/08 00:00:00",,76.0000
8582,905,"08/21/08 00:00:00",,79.3000
8583,905,"08/22/08 00:00:00",,75.4000
8584,905,"08/23/08 00:00:00",,35.4000
8586,883,"08/25/08 00:00:00",,96.7000
8587,913,"08/25/08 00:00:00",,289.0000
8588,914,"08/25/08 00:00:00",,101.4000
8589,886,"08/25/08 00:00:00",,87.5000
8590,906,"08/25/08 00:00:00",,47.0000
8591,905,"08/25/08 00:00:00",,66.0000
8592,912,"08/25/08 00:00:00",,111.6000
8593,880,"08/25/08 00:00:00",586,1537.6100
8594,924,"08/25/08 00:00:00",441,817.3100
8595,890,"08/25/08 00:00:00",342,824.2000
8596,879,"08/25/08 00:00:00",1259,1415.7000
8597,883,"08/26/08 00:00:00",,96.7000
8598,913,"08/26/08 00:00:00",,289.0000
8599,914,"08/26/08 00:00:00",,101.4000
8600,886,"08/26/08 00:00:00",,85.7000
8601,906,"08/26/08 00:00:00",,41.2000
8602,905,"08/26/08 00:00:00",,64.0000
8603,912,"08/26/08 00:00:00",,57.0500
8604,924,"08/14/08 00:00:00",110,1453.8300
8605,924,"08/16/08 00:00:00",62,1097.0100
8606,924,"08/20/08 00:00:00",410,1116.6000
8607,924,"08/21/08 00:00:00",403,994.4000
8608,924,"08/19/08 00:00:00",280,998.2000
8609,883,"08/27/08 00:00:00",,96.7000
8610,913,"08/27/08 00:00:00",,289.0000
8611,914,"08/27/08 00:00:00",,101.4000
