IDStoreControl,IDMarketer,Date,NoApod,Incam
117,879,"10/04/05 00:00:00",441,886.4000
118,880,"10/04/05 00:00:00",494,940.4500
119,880,"10/05/05 00:00:00",503,968.0000
120,880,"10/06/05 00:00:00",516,947.3500
121,879,"10/05/05 00:00:00",449,1055.9000
122,879,"10/06/05 00:00:00",441,1016.9000
123,879,"08/07/05 00:00:00",374,1104.7000
124,890,"10/05/05 00:00:00",193,348.5500
125,890,"10/07/05 00:00:00",218,382.5500
126,890,"10/06/05 00:00:00",223,381.0500
127,879,"10/08/05 00:00:00",518,1394.0000
128,890,"10/08/05 00:00:00",248,574.4000
129,880,"10/07/05 00:00:00",496,1005.0000
130,880,"10/08/05 00:00:00",716,1801.4500
131,880,"10/10/05 00:00:00",509,920.8000
132,880,"10/11/05 00:00:00",499,1005.8500
133,880,"10/12/05 00:00:00",505,1015.8500
134,880,"10/13/05 00:00:00",535,957.9000
135,880,"10/14/05 00:00:00",0,1020.6500
136,880,"10/15/05 00:00:00",733,1904.5500
137,890,"10/10/05 00:00:00",209,406.4000
138,890,"10/11/05 00:00:00",223,371.4500
139,890,"10/12/05 00:00:00",212,391.5500
140,890,"10/13/05 00:00:00",208,370.6300
141,890,"10/14/05 00:00:00",215,404.7500
142,890,"10/15/05 00:00:00",264,601.8500
143,890,"10/17/05 00:00:00",218,416.0000
144,879,"10/10/05 00:00:00",416,876.0000
145,879,"10/11/05 00:00:00",384,872.0000
146,879,"10/12/05 00:00:00",419,990.0000
147,879,"10/13/05 00:00:00",452,945.0000
148,879,"10/14/05 00:00:00",481,1020.0000
149,879,"10/15/05 00:00:00",385,1178.8500
150,879,"10/17/05 00:00:00",367,851.0000
151,879,"10/18/05 00:00:00",371,905.0000
152,879,"10/19/05 00:00:00",310,895.9500
153,879,"10/20/05 00:00:00",363,932.0000
154,879,"10/21/05 00:00:00",408,900.4500
155,880,"10/17/05 00:00:00",467,857.0000
156,880,"10/18/05 00:00:00",457,946.2000
157,880,"10/19/05 00:00:00",483,902.2500
158,880,"10/20/05 00:00:00",485,950.5500
159,890,"10/18/05 00:00:00",220,408.6000
160,890,"10/20/05 00:00:00",199,411.3000
161,890,"10/21/05 00:00:00",217,487.9000
162,890,"10/22/05 00:00:00",258,621.7000
163,880,"10/21/05 00:00:00",504,973.3500
164,880,"10/22/05 00:00:00",744,1785.0000
165,879,"10/22/05 00:00:00",507,1296.4500
166,879,"10/24/05 00:00:00",477,933.0000
167,879,"10/25/05 00:00:00",458,966.9000
168,880,"10/24/05 00:00:00",480,942.3900
169,890,"10/24/05 00:00:00",209,370.3000
170,890,"10/25/05 00:00:00",208,439.2500
171,890,"10/19/05 00:00:00",218,400.0000
172,890,"10/26/05 00:00:00",201,379.6000
173,890,"10/27/05 00:00:00",220,513.4000
174,890,"10/29/05 00:00:00",243,591.5500
175,890,"10/31/05 00:00:00",220,406.0000
176,880,"10/25/05 00:00:00",500,952.3000
177,880,"10/26/05 00:00:00",433,905.0100
178,880,"10/27/05 00:00:00",567,1351.5000
179,880,"10/29/05 00:00:00",721,1689.0000
180,879,"10/26/05 00:00:00",423,909.0000
181,879,"10/27/05 00:00:00",467,1076.0000
182,879,"10/29/05 00:00:00",438,1137.0000
183,879,"10/31/05 00:00:00",478,939.0000
184,879,"11/01/05 00:00:00",482,961.0000
185,879,"11/02/05 00:00:00",418,927.4000
186,880,"10/31/05 00:00:00",478,882.2000
187,880,"11/01/05 00:00:00",469,896.8500
188,890,"11/01/05 00:00:00",213,376.8000
189,890,"11/02/05 00:00:00",232,451.2000
190,879,"11/05/05 00:00:00",425,952.0000
191,890,"11/04/05 00:00:00",203,379.5000
192,879,"11/04/05 00:00:00",446,944.0000
193,890,"11/03/05 00:00:00",245,442.2000
194,879,"11/03/05 00:00:00",416,855.3500
195,880,"11/02/05 00:00:00",505,940.6500
196,880,"11/03/05 00:00:00",480,961.8000
197,879,"11/07/05 00:00:00",424,834.0000
198,890,"11/07/05 00:00:00",211,386.6500
199,880,"11/07/05 00:00:00",492,932.9500
200,880,"11/08/05 00:00:00",465,974.9500
201,879,"11/08/05 00:00:00",500,1175.0000
202,890,"11/08/05 00:00:00",228,406.0000
203,879,"11/09/05 00:00:00",424,900.0000
204,890,"11/09/05 00:00:00",200,200.0000
205,880,"11/09/05 00:00:00",479,894.7000
206,879,"11/10/05 00:00:00",429,873.9200
207,890,"11/10/05 00:00:00",228,411.8500
208,880,"11/11/05 00:00:00",475,959.7000
209,880,"11/12/05 00:00:00",753,1779.6000
210,890,"11/12/05 00:00:00",263,625.7000
211,879,"11/12/05 00:00:00",465,1233.6000
212,880,"11/10/05 00:00:00",457,902.6000
213,879,"11/11/05 00:00:00",347,872.0000
214,890,"11/11/05 00:00:00",216,400.1500
215,879,"11/14/05 00:00:00",407,793.0000
216,880,"11/14/05 00:00:00",463,898.5000
217,890,"11/14/05 00:00:00",223,379.0500
218,890,"11/15/05 00:00:00",222,399.3500
219,880,"11/15/05 00:00:00",504,960.0000
220,879,"11/15/05 00:00:00",430,825.0000
221,880,"11/16/05 00:00:00",527,1008.1500
222,879,"11/16/05 00:00:00",394,880.0000
223,890,"11/16/05 00:00:00",218,424.5000
224,890,"11/17/05 00:00:00",211,382.2000
225,879,"11/17/05 00:00:00",432,947.0000
226,880,"11/17/05 00:00:00",492,920.2500
227,879,"11/18/05 00:00:00",418,886.0000
228,890,"11/18/05 00:00:00",230,391.9500
229,880,"11/18/05 00:00:00",501,1051.0000
230,880,"11/19/05 00:00:00",710,1782.6000
231,890,"11/19/05 00:00:00",284,730.8000
232,879,"11/19/05 00:00:00",538,1381.0000
233,890,"11/21/05 00:00:00",216,394.1000
234,879,"11/21/05 00:00:00",448,879.0000
235,880,"11/21/05 00:00:00",498,916.3000
236,880,"11/22/05 00:00:00",498,1006.2000
237,890,"11/22/05 00:00:00",220,441.8000
238,879,"11/22/05 00:00:00",429,1060.0000
239,879,"11/23/05 00:00:00",406,1110.0000
240,890,"11/23/05 00:00:00",200,393.6500
241,880,"11/23/05 00:00:00",438,949.8000
242,890,"11/24/05 00:00:00",234,448.9500
243,879,"11/24/05 00:00:00",506,1262.0000
244,880,"11/24/05 00:00:00",564,1291.8500
245,890,"11/25/05 00:00:00",229,519.9000
246,879,"11/26/05 00:00:00",516,1428.7500
247,880,"11/26/05 00:00:00",703,1772.0000
248,890,"11/26/05 00:00:00",273,643.7500
249,890,"11/28/05 00:00:00",218,378.8500
250,879,"11/28/05 00:00:00",454,967.4000
251,880,"11/28/05 00:00:00",514,919.3000
252,890,"11/29/05 00:00:00",222,393.0500
253,879,"11/29/05 00:00:00",437,1106.0000
254,880,"11/29/05 00:00:00",496,941.5500
