IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7039,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7040,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7040,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7041,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7041,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7042,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7042,6978,"Χ_Φ",1.7000000000000000e+00,0.0000000000000000e+00,0,0
7043,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7043,6978,"91",5.0000000000000000e-01,0.0000000000000000e+00,0,0
7044,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7044,6978,"95",5.9999999999999998e-01,0.0000000000000000e+00,0,0
7045,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7045,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7046,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7046,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7047,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7047,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7048,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7048,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7049,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7049,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7050,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7050,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7051,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7051,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7052,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7052,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7053,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7053,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7054,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7054,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7055,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7055,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7056,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7056,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7057,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7057,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7058,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7058,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7059,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7059,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7060,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7060,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7061,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7062,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7063,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7064,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7064,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7065,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7065,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7066,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
